# Motorcycle Models - autoplius.lt
# Formatas: BRAND|MODEL
# Vienas iraso per eilute. Eilutes prasidedancios # yra komentarai.

# === ABM ===
ABM|Other
ABM|Phantom 125
ABM|Raptor

# === Access Motor ===
Access Motor|Other
Access Motor|DRR 100 WITH REVERSE
Access Motor|SHADE 600
Access Motor|SHADE 650LT EPS
Access Motor|SHADE 850LT EPS
Access Motor|SP400
Access Motor|Streak

# === ADVENTO ===
ADVENTO|MAXI

# === AGM ===
AGM|Other
AGM|City
AGM|Retro

# === AJP ===
AJP|Other
AJP|PR4 Enduro
AJP|PR4 Supermotard
AJP|PR7

# === Alfarad ===
Alfarad|AF250G

# === AODES ===
AODES|850L
AODES|850S
AODES|1000L
AODES|1000S
AODES|650L
AODES|650S
AODES|ALPINECROSS 1000
AODES|DESERTCROSS 1000
AODES|E-TRAILCROSS
AODES|PATHCROSS 525 L
AODES|PATHCROSS 525 S
AODES|PATHCROSS 650L
AODES|PATHCROSS 650S
AODES|PATHCROSS 850L
AODES|PATHCROSS 850S
AODES|PATHCROSS 1000L
AODES|PATHCROSS 1000L MUD PRO
AODES|PATHCROSS 1000S
AODES|PATHCROSS 1000S MUD PRO
AODES|TRAILCROSS 250
AODES|TRAILCROSS 400
AODES|WORKCROSS 650
AODES|WORKCROSS 1000

# === Apollo ===
Apollo|Other
Apollo|A36BW250

# === Aprilia ===
Aprilia|Other
Aprilia|AF
Aprilia|Area
Aprilia|Atlantic
Aprilia|Atlantic 125
Aprilia|Atlantic 200
Aprilia|Atlantic 300
Aprilia|Atlantic 500
Aprilia|Caponord (ETV)
Aprilia|Caponord 1000
Aprilia|Caponord 1200
Aprilia|Classic
Aprilia|Dorsoduro
Aprilia|Dorsoduro 750
Aprilia|Dorsoduro 900
Aprilia|Dorsoduro 1200
Aprilia|ETV 1000 Caponord
Aprilia|Europe
Aprilia|Falco
Aprilia|Gulliver
Aprilia|Habana
Aprilia|Leonardo
Aprilia|Leonardo 125
Aprilia|Leonardo 150
Aprilia|Leonardo 250
Aprilia|Leonardo 300
Aprilia|Mana
Aprilia|Mana 850
Aprilia|Mojito Custom
Aprilia|Moto
Aprilia|MX
Aprilia|MX 125
Aprilia|Pegaso
Aprilia|Pegaso 125
Aprilia|Pegaso 250
Aprilia|Pegaso 600
Aprilia|Pegaso 650
Aprilia|Pegaso Trail
Aprilia|Rally
Aprilia|Red Rose
Aprilia|RS
Aprilia|Rs Tuono
Aprilia|RST
Aprilia|RSV
Aprilia|RX
Aprilia|Scarabeo
Aprilia|Shiver
Aprilia|Sonic
Aprilia|Sportcity
Aprilia|SR
Aprilia|SRV
Aprilia|SX
Aprilia|SXR
Aprilia|SXV
Aprilia|Tuareg
Aprilia|Tuono

# === Benelli ===
Benelli|Other
Benelli|502 C
Benelli|752 S
Benelli|BN 125
Benelli|BN 251
Benelli|BN 302
Benelli|BN 600
Benelli|BN 600 GT
Benelli|BN 600 R
Benelli|Imperiale 400
Benelli|Leoncino 250
Benelli|Leoncino 500
Benelli|Leoncino 800
Benelli|Tornado Naked T
Benelli|TNT 125
Benelli|TNT 135
Benelli|TNT 1130
Benelli|TNT 25
Benelli|TNT 300
Benelli|TNT 600
Benelli|TNT 600 GT
Benelli|TNT 899
Benelli|TNT R
Benelli|TRK 125
Benelli|TRK 251
Benelli|TRK 502
Benelli|TRK 502 X
Benelli|TRK 502X
Benelli|TRK 702
Benelli|TRK 702 X

# === Beta ===
Beta|Other
Beta|Aikon
Beta|Alp
Beta|Eikon
Beta|Euro
Beta|EVO
Beta|Jonathan
Beta|KR 250
Beta|Motard
Beta|Rev
Beta|RR
Beta|RX
Beta|Supermoto 50
Beta|TR
Beta|XT
Beta|XTrainer

# === Blinc ===
Blinc|Fantasy
Blinc|Grace

# === BLUROC ===
BLUROC|Heritage
BLUROC|Hero
BLUROC|Hunt XC
BLUROC|Legend
BLUROC|Spirit
BLUROC|Tracker
BLUROC|V-BOB

# === BMW ===
BMW|Other
BMW|C 400 GT
BMW|C 400 X
BMW|C 600
BMW|C 600 Sport
BMW|C 650 GT
BMW|C 650 Sport
BMW|C Evolution
BMW|C1
BMW|CE 02
BMW|CE 04
BMW|F 650
BMW|F 650 CS
BMW|F 650 GS
BMW|F 650 ST
BMW|F 700 GS
BMW|F 750 GS
BMW|F 800 GS
BMW|F 800 GS Adventure
BMW|F 800 GT
BMW|F 800 R
BMW|F 800 S
BMW|F 800 ST
BMW|F 850 GS
BMW|F 850 GS Adventure
BMW|F 900 GS
BMW|F 900 GS Adventure
BMW|F 900 R
BMW|F 900 XR
BMW|G 310 GS
BMW|G 310 R
BMW|G 450 X
BMW|G 650 GS
BMW|G 650 X
BMW|G 650 XChallenge
BMW|G 650 XCountry
BMW|G 650 XMoto
BMW|HP2
BMW|HP4
BMW|K 1
BMW|K 100
BMW|K 1100
BMW|K 1200
BMW|K 1200 GT
BMW|K 1200 LT
BMW|K 1200 R
BMW|K 1200 R Sport
BMW|K 1200 RS
BMW|K 1200 S
BMW|K 1300 GT
BMW|K 1300 R
BMW|K 1300 S
BMW|K 1600
BMW|K 1600 B
BMW|K 1600 GT
BMW|K 1600 GTL
BMW|K 1600 Grand America
BMW|K 75
BMW|M 1000 R
BMW|M 1000 RR
BMW|M 1000 XR
BMW|M 1000R
BMW|R 100
BMW|R 1100 GS
BMW|R 1100 R
