brand_id,brand_name,scope_key
2053,160,cars
2054,180,cars
2055,220,cars
3181,2Wheels,cars
1958,AAK,cars
2682,ABB,cars
2683,ABB Asea Truck,cars
2684,ABG,cars
1175,ABM,cars
2057,ACMA,cars
1707,ACTM,cars
3073,ACV,cars
1708,ADER,cars
1181,ADVENTO,cars
2060,AG BAGGER,cars
2061,AG projekt,cars
1960,AGADOS,cars
1184,AGM,cars
2067,AGRICOLA,cars
2068,AGRIMAT,cars
2070,AGRIO,cars
2074,AGRO-LIFT,cars
2075,AGRO-TOM,cars
2076,AGROCLASS,cars
2077,AGRODAN,cars
2078,AGROFARMER,cars
2079,AGROLEAD,cars
2081,AGROMASH,cars
2084,AGRONIC,cars
2086,AGROVOLT,cars
3313,AGV,cars
1185,AJP,cars
1186,AJS,cars
1961,ALF,cars
1710,ALKOM,cars
2092,ALMAZ,cars
2094,ALPINA,cars
2096,ALTEC,cars
2691,AMKODOR,cars
1962,ANNABURGER,cars
1665,AODES,cars
2100,AP,cars
1194,APG,cars
2101,APV,cars
3319,ARMR,cars
1715,ATC,cars
1204,ATK,cars
1206,ATM,cars
2104,ATMP,cars
1207,ATV,cars
1208,ATX,cars
2106,AUSA,cars
1965,AUWARTER,cars
2108,AVANT,cars
2699,AVIA,cars
1209,AWO,cars
3320,AXO,cars
1176,Access,cars
1177,Access Motor,cars
2056,Accord,cars
1706,Acerbi-Viberti,cars
3312,Acerbis,cars
1959,Ackermann-Fruehauf,cars
2058,Acros,cars
1178,Adiva,cars
1179,Adler,cars
1180,Adly,cars
1709,Adria,cars
2059,Aebi,cars
1182,Aeon,cars
1183,Aermacchi,cars
3182,AeroBoard,cars
2062,Agjat,cars
2063,Agma,cars
2064,Agram,cars
2065,Agrex,cars
2066,Agria,cars
2069,Agrinova,cars
2071,Agrisem,cars
2072,Agritech,cars
2073,Agro-Factory,cars
2080,Agrolux,cars
2082,Agromasz,cars
2083,Agromehanika,cars
2085,Agropart,cars
2087,Ahlmann,cars
3003,Ahorn,cars
2685,Airmann,cars
3314,Airoh,cars
3183,Airwheel,cars
3074,Aiwa,cars
2686,Akerman,cars
3315,Akito,cars
2088,Akpil,cars
2944,Aktiv,cars
2687,Alfa-Romeo,cars
1187,Alfarad,cars
1188,Alfer,cars
2089,Alima,cars
2090,Allgaier,cars
2945,Allied,cars
2688,Allight,cars
2689,Allis,cars
2091,Allis chalmers,cars
2690,Allischalmers,cars
1711,Allrad,cars
2093,Alpego,cars
1189,Alpha,cars
3075,Alphard,cars
3316,Alpinestars,cars
2095,Alpler,cars
1190,Altis,cars
1191,Amazonas,cars
2097,Amazone,cars
2098,Amco Veba,cars
1192,American Eagle,cars
1712,Ammann,cars
2934,Ammann-Yanmar,cars
2099,Andrzej Namyslo,cars
1963,Anssems,cars
1193,Aodes,cars
1195,Apollo,cars
1196,Aprilia,cars
3317,Arai,cars
3004,Arca,cars
1197,Archive,cars
1198,Archive Motorcycle,cars
3184,Archos,cars
1199,Arctic Cat,cars
1200,Ardie,cars
1713,Ardor,cars
1201,Argo,cars
2692,Ariston,cars
3076,Arizona Eagle,cars
3318,Arlen Ness,cars
2102,ArmaTrac,cars
2935,Armanni,cars
2693,Armmani,cars
2694,Artison,cars
2695,Asea,cars
2936,Asea Truck,cars
1202,Asix,cars
1203,Askoll,cars
1964,Asnes,cars
1714,Astra,cars
3185,Atala,cars
1205,Atlant,cars
2103,Atlas,cars
2696,Atlet,cars
3077,Audio system,cars
3078,Audiobahn,cars
3079,Audison,cars
2105,Auksarankiai,cars
2697,Ausa,cars
1912,Autocar,cars
3005,Autoroller,cars
1716,Autosan,cars
3006,Autostar,cars
3080,Autotek,cars
2698,Autres,cars
2107,Auwarter,cars
1717,Avia,cars
3186,Avigo,cars
3007,Avondale,cars
2109,Axmann,cars
3081,Axton,cars
1210,Azel,cars
3008,BAILEY,cars
2114,BAL TB,cars
1718,BANNERT,cars
2116,BARGAM,cars
2703,BAUMAX,cars
2117,BBG,cars
2118,BCS,cars
2119,BE-FA,cars
2120,BECKER,cars
1217,BENDA,cars
1724,BERGERecotrail,cars
2126,BERRY,cars
2130,BISO,cars
2710,BKS,cars
2132,BKT,cars
2133,BLANCHARD,cars
1970,BLOMENROHR,cars
1666,BLUROC,cars
1229,BM,cars
2134,BM Tracktors,cars
1729,BMC,cars
1230,BMC Choppers,cars
2135,BMF,cars
1971,BOCKMANN,cars
2139,BOLKO,cars
2141,BOMET,cars
1972,BORO,cars
1235,BPG Werks,cars
