id,brand_id,name
14566,1224,-Kitas-
14567,1641,001/7
14568,1641,006/7
14569,1641,006/8
14570,1641,008/8
14571,1641,017/8
14572,1641,018/8
14573,1506,1
14574,1526,1
14575,1655,10 LRC
14576,1487,100
14578,1199,1000
14577,1407,1000
14579,1471,1000 S
14580,1199,1000 Thundercat
14581,1665,1000L
14582,1250,1000MT-X
14583,1665,1000S
14584,1199,1000i GT EFT
14585,1199,1000i GT TRV EFT
14586,1581,101R
14587,1581,101S
14588,1581,104T
14589,1030,1050 Adventure
14590,1030,1090 Adventure
14591,1284,1098
14592,1526,11
14593,1240,1125
14594,1030,1190 Adventure
14595,1284,1198
14596,1284,1199 Panigale
14597,1439,12
14598,1449,1200 Sport
14599,1439,125
14600,1433,125
14601,1268,125
14602,1363,125
14603,1487,125
14604,1362,125
14605,1682,125
14606,1454,125
14607,1370,125
14608,1265,125
14609,1452,125
14610,1204,125
14611,1226,125
14612,1551,125
14613,1030,125 Duke
14614,1429,125 E
14615,1030,125 EXC
14616,1661,125 G1
14617,1429,125 M
14618,1429,125 Mark
14619,1250,125 NK
14620,1622,125 R
14621,1352,125 SM
14622,1030,125 SX
14623,1352,125 TC
14624,1352,125 TE
14625,1661,125 U
14626,1661,125 X
14627,1207,125cc
14628,1030,1290 Super Adventure
14629,1030,1290 Super Duke GT
14630,1030,1290 Super Duke R
14631,1284,1299 Panigale
14632,1439,13
14633,1526,13
14634,1348,1400 TI
14635,1526,15
14636,1352,150 BW
14637,1030,150 SX
14638,1321,150 cc
14639,1298,1500
14640,1250,150NK
14641,1370,160
14642,1191,1600
14643,1526,17
14644,1418,17/14
14645,1682,175
14646,1265,175
14647,1363,175
14648,1363,180
14649,1265,180
14650,1506,2
14652,1414,200
14651,1229,200
14653,1030,200 Duke
14654,1515,2000
14655,1414,200SE
14656,1581,202 Classic
14657,1332,220
14658,1332,220 S
14663,1265,250
14664,1363,250
14659,1362,250
14660,1427,250
14661,1452,250
14662,1204,250
14665,1638,250 A
14666,1030,250 Duke
14667,1030,250 EXC
14668,1397,250 Enduro
14669,1352,250 FC
14670,1352,250 FE
14671,1352,250 FX
